pmid,subject,relation,object,found,relation_term_matched,distance_chars,snippet
PMC6002356,Hirsutella stilbelliformis,pathogenOf,Cephalotes atratus,True,True,2,"One of these – Hirsutella stilbelliformis var. stilbelliformis – plays a remarkable role of transmission even after the host removal. Evans & Samson (1982) described a behaviour in which apparently non-infected Cephalotes atratus – not displaying symptoms of fungal infection – actively attempted to remove infected cadavers from the lower trunk of the so-called cemetery or graveyard tree, forming a necropolis of ant corpses just above the tree base ( Fig. 21 )."
PMC6002356,Ophiocordyceps kniphofioides,pathogenOf,Daceton armigerum,True,True,2,"(ant images from www.AntWeb.org and the photographers: Oecophylla , Camponotus , Dolichoderus , Cephalotes , Paraponera and Daceton : April Nobile, Polyrhachis : Will Ericson. Species of fungi within the O. kniphofioides clade share several morphological and ecological characters. All species within this clade are exclusively pathogens of Neotropical ants (i.e. Cephalotes atratus , Paraponera clavata , Dolichoderus bispinosus and Daceton armigerum )"
PMC6055595,Burkholderiaceae,interactsWith,Formicidae,True,True,2,"The bacterial and fungal taxa captured by our analysis are abundant in soil environments ( Acosta-Martínez et al., 2008 ; Buée et al., 2009 ; Anderson et al., 2011 ; Voglmayr et al., 2011 ; Lanzén et al., 2015 ; DeAngelis et al., 2015 ). Furthermore, the bacterial genera belonging to Burkholderiaceae have also been shown to be associated with ant genera such as, Camponotus ( He et al., 2011 ), Cephalotes ( Russell et al., 2009 ; Kautz et al., 2013 ), and Tetraponera ( Van Borm et al., 2002 )."
PMC6055595,Burkholderiaceae,interactsWith,Tetraponera,True,True,2,"The bacterial and fungal taxa captured by our analysis are abundant in soil environments ( Acosta-Martínez et al., 2008 ; Buée et al., 2009 ; Anderson et al., 2011 ; Voglmayr et al., 2011 ; Lanzén et al., 2015 ; DeAngelis et al., 2015 ). Furthermore, the bacterial genera belonging to Burkholderiaceae have also been shown to be associated with ant genera such as, Camponotus ( He et al., 2011 ), Cephalotes ( Russell et al., 2009 ; Kautz et al., 2013 ), and Tetraponera ( Van Borm et al., 2002 )."
PMC6055595,Burkholderiaceae,interactsWith,Cephalotes,True,True,2,"The bacterial and fungal taxa captured by our analysis are abundant in soil environments ( Acosta-Martínez et al., 2008 ; Buée et al., 2009 ; Anderson et al., 2011 ; Voglmayr et al., 2011 ; Lanzén et al., 2015 ; DeAngelis et al., 2015 ). Furthermore, the bacterial genera belonging to Burkholderiaceae have also been shown to be associated with ant genera such as, Camponotus ( He et al., 2011 ), Cephalotes ( Russell et al., 2009 ; Kautz et al., 2013 ), and Tetraponera ( Van Borm et al., 2002 )."
PMC6876665,Laboulbenia,parasiteOf,Lasius,True,True,2,"The causality of this relationship was confirmed because dietary supplementation with carotenoids enhanced phenoloxidase activity without inducing additional self-harming in the crustacean ( Babin et al. 2010 ). Moreover, a recent study demonstrated that redder and darker clypeal membranes in Nicrophorus pustulatus Herschel (Coleoptera: Silphidae) beetles are associated with an increased induced immune response ( Wormington and Luttbeg 2018 ). Regarding Laboulbeniales in relation to host immunity, association between the invasive ant Lasius neglectus Van Loon, Boomsma & Andrásfalvy (Hymenoptera: Formicidae) and its ectoparasite Laboulbenia formicarum Thaxter (Ascomycota: Laboulbeniales) was studied by Konrad et al. (2015) ."
PMC6876665,Laboulbenia,parasiteOf,Lasius neglectus,True,True,2,"The causality of this relationship was confirmed because dietary supplementation with carotenoids enhanced phenoloxidase activity without inducing additional self-harming in the crustacean ( Babin et al. 2010 ). Moreover, a recent study demonstrated that redder and darker clypeal membranes in Nicrophorus pustulatus Herschel (Coleoptera: Silphidae) beetles are associated with an increased induced immune response ( Wormington and Luttbeg 2018 ). Regarding Laboulbeniales in relation to host immunity, association between the invasive ant Lasius neglectus Van Loon, Boomsma & Andrásfalvy (Hymenoptera: Formicidae) and its ectoparasite Laboulbenia formicarum Thaxter (Ascomycota: Laboulbeniales) was studied by Konrad et al. (2015) ."
PMC6876665,Laboulbeniaceae,parasiteOf,Formicidae,True,True,2,"The causality of this relationship was confirmed because dietary supplementation with carotenoids enhanced phenoloxidase activity without inducing additional self-harming in the crustacean ( Babin et al. 2010 ). Moreover, a recent study demonstrated that redder and darker clypeal membranes in Nicrophorus pustulatus Herschel (Coleoptera: Silphidae) beetles are associated with an increased induced immune response ( Wormington and Luttbeg 2018 ). Regarding Laboulbeniales in relation to host immunity, association between the invasive ant Lasius neglectus Van Loon, Boomsma & Andrásfalvy (Hymenoptera: Formicidae) and its ectoparasite Laboulbenia formicarum Thaxter (Ascomycota: Laboulbeniales) was studied by Konrad et al. (2015) ."
PMC7156370,Ophiocordycipitaceae,pathogenOf,Formicidae,True,True,2,"Parasite–host interaction specificity is driven by the diversity or temporal variability of the host’s population and by genetic trade-offs in adaptation to different hosts. Thus, co-evolutionary consequence critically depends on the pervasiveness of genetic interactions. Ophiocordyceps unilateralis (Clavicipitaceae: Hypocreales), also referred to as a “zombie fungus,” is a fungal pathogen considered specific to ants of the tribe Camponotini (Formicinae: Formicidae)."
PMC7156370,Ophiocordyceps unilateralis,pathogenOf,Polyrhachis,True,True,2,"unilateralis , which are yet to be described 9 . Studies have reported that O . unilateralis in the southern Thailand mainly parasitize carpenter ants, especially Camponotus leonardi , as principal hosts with minor supplementary infections found in some Polyrhachis ants 3 , 10 ."
