source_taxon_name,interaction_type,target_taxon_name,study_citation,study_url,study_source_archive_uri,categoria
Wiedemannia (Wiedemannia),preyedUponBy,Solenopsis xyloni,"@article{McKinnerney_1978,	doi = {10.2307/3671178}, url = {https://doi.org/10.2307%2F3671178}, year = 1978, month = {dec}, publisher = {{JSTOR}}, volume = {23}, number = {4}, pages = {563}, author = {Marsha McKinnerney}, title = {Carrion Communities in the Northern Chihuahuan Desert}, journal = {The Southwestern Naturalist}}",https://www.jstor.org/stable/pdf/3671178.pdf?refreqid=excelsior%3A9615c0ca2bd96f73e7b3a6fa141aa19c,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip,Outro / não classificado
Sinea complexa,preysOn,Solenopsis xyloni,"@article{McKinnerney_1978,	doi = {10.2307/3671178}, url = {https://doi.org/10.2307%2F3671178}, year = 1978, month = {dec}, publisher = {{JSTOR}}, volume = {23}, number = {4}, pages = {563}, author = {Marsha McKinnerney}, title = {Carrion Communities in the Northern Chihuahuan Desert}, journal = {The Southwestern Naturalist}}",https://www.jstor.org/stable/pdf/3671178.pdf?refreqid=excelsior%3A9615c0ca2bd96f73e7b3a6fa141aa19c,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip,Outro / não classificado
Phaenicia sericata,preyedUponBy,Solenopsis xyloni,"@article{McKinnerney_1978,	doi = {10.2307/3671178}, url = {https://doi.org/10.2307%2F3671178}, year = 1978, month = {dec}, publisher = {{JSTOR}}, volume = {23}, number = {4}, pages = {563}, author = {Marsha McKinnerney}, title = {Carrion Communities in the Northern Chihuahuan Desert}, journal = {The Southwestern Naturalist}}",https://www.jstor.org/stable/pdf/3671178.pdf?refreqid=excelsior%3A9615c0ca2bd96f73e7b3a6fa141aa19c,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip,Outro / não classificado
Cochliomyia macellaria,preyedUponBy,Solenopsis xyloni,"@article{McKinnerney_1978,	doi = {10.2307/3671178}, url = {https://doi.org/10.2307%2F3671178}, year = 1978, month = {dec}, publisher = {{JSTOR}}, volume = {23}, number = {4}, pages = {563}, author = {Marsha McKinnerney}, title = {Carrion Communities in the Northern Chihuahuan Desert}, journal = {The Southwestern Naturalist}}",https://www.jstor.org/stable/pdf/3671178.pdf?refreqid=excelsior%3A9615c0ca2bd96f73e7b3a6fa141aa19c,https://github.com/globalbioticinteractions/mangal/archive/496346227463f7003c1e4e6620693325b4cb294d.zip,Outro / não classificado
Sarcophaga utilis,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Sinea complexa,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Oxysarcodexia ochripyga,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Lucilia sericata,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Cochliomyia macellaria,interactsWith,Solenopsis xyloni,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Eciton burchellii,interactsWith,Dorylus,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Solenopsis richteri,interactsWith,Solenopsis richteri,A. Thessen. 2014. Species associations extracted from EOL text data objects via text mining. Accessed at <https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip> on 10 Apr 2026.,,https://github.com/EOL/pseudonitzchia/archive/e5838965a186fba4b7215cd0d179c4526773bad5.zip,Mineração de texto
Eurysternus caribaeus,eatenBy,Solenopsis geminata,"B.W. Cornaby. (1974). Carrion Reduction by Animals in Contrasting Tropical Habitats. Biotropica. 6(1), pp. 51-63.",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip,Mineração de texto
Deltochilum lobipes,eatenBy,Solenopsis geminata,"B.W. Cornaby. (1974). Carrion Reduction by Animals in Contrasting Tropical Habitats. Biotropica. 6(1), pp. 51-63.",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip,Mineração de texto
Onthophagus praecellens,eatenBy,Solenopsis geminata,"B.W. Cornaby. (1974). Carrion Reduction by Animals in Contrasting Tropical Habitats. Biotropica. 6(1), pp. 51-63.",,https://github.com/globalbioticinteractions/globalwebdb/archive/12f2c1ad026e634aea47dc40c0a5e9d463165058.zip,Mineração de texto
