pair
"Ophiocordyceps unilateralis , pathogenOf , Camponotini"
"Acromyrmex , eats , Agrocybe cylindracea"
"Acromyrmex , eats , Agrocybe"
"Ophiocordyceps forquignonii , hasHost , Lasius fuliginosus"
"Ophiocordyceps lloydii , parasitoidOf , Formicidae"
"Solenopsis geminata , eats , Planococcus"
"Cephalotes depressus , interactsWith , Coccoidea"
"Ophiocordyceps unilateralis , hasHost , Camponotus sericeiventris"
"Lindtneria trachyspora , interactsWith , Myrmica sabuleti"
"Hirsutella subramanianii , hasHost , Acromyrmex octospinosus"
"Agaricales , hasHost , Apterostigma dorotheae"
"Agaricomycetes , hasHost , Apterostigma dorotheae"
"Agaricales , hasHost , Apterostigma pilosum"
"Agaricales , hasHost , Apterostigma dentigerum"
"Attaphila fungicola , interactsWith , Atta texana"
"Ophiocordyceps unilateralis , adjacentTo , Formicidae"
"Laboulbenia , hasHost , Lasius americanus"
"Ophiocordyceps unilateralis , hasHost , Camponotus pennsylvanicus"
"Thelohania , pathogenOf , Solenopsis invicta"
"Paecilomyces fumosoroseus , pathogenOf , Cataulacus guineensis"
"Beauveria bassiana , pathogenOf , Solenopsis xyloni"
"Achromobacter xylosoxidans , hasHost , Solenopsis invicta"
"Alternaria infectoria , hasVector , Formicidae"
"Escovopsis , pathogenOf , Atta sexdens"
"Ophiocordyceps , pathogenOf , Atta"
"Entomophthoraceae , pathogenOf , Formicidae"
"Ophiocordyceps kniphofioides , pathogenOf , Dolichoderus bispinosus"
"Hirsutella , pathogenOf , Cephalotes"
"Ophiocordyceps , pathogenOf , Myrmica rubra"
"Attini , coOccursWith , Actinomycetales"
"Candidatus Blochmannia , symbiontOf , Formicidae"
"Ophiocordyceps , interactsWith , Formicidae"
"Ophiocordyceps unilateralis , interactsWith , Camponotus sericeiventris"
"Ophiocordyceps camponoti-balzani , interactsWith , Camponotini"
"Ophiocordyceps , interactsWith , Camponotini"
"Ophiocordyceps camponoti-novogranadensis , interactsWith , Camponotini"
"Ophiocordyceps camponoti-rufipedis , interactsWith , Camponotini"
"Lasius fuliginosus , interactsWith , Cladosporium"
"Atta sexdens , interactsWith , Basidiomycota"
"Aspergillus flavus , hasHost , Polyrhachis"
"Dolichoderus attelaboides , interactsWith , Coccoidea"
"Ophiocordyceps ponerinarum , hasHost , Paraponera clavata"
"Ophiocordyceps australis , hasHost , Paraponera clavata"
"Ophiocordyceps unilateralis , parasiteOf , Camponotus sericeiventris"
"Oecophylla smaragdina , eats , Coccoidea"
"Camponotus pennsylvanicus , parasiteOf , Ophiocordyceps unilateralis"
"Leucoagaricus , hasHost , Mycocepurus smithii"
"Agaricaceae , hasHost , Mycocepurus smithii"
"Leucocoprinus , hasHost , Trachymyrmex intermedius"
"Leucocoprinus , hasHost , Trachymyrmex wheeleri"
"Aspergillus tamarii , hasHost , Atta insularis"
"Ophiocordyceps , pathogenOf , Polyrhachis"
"Ophiocordyceps unilateralis , pathogenOf , Polyrhachis dives"
"Ophiocordyceps unilateralis , parasiteOf , Polyrhachis"
"Ophiocordycipitaceae , parasiteOf , Formicidae"
"Leucoagaricus gongylophorus , hasHost , Atta laevigata"
"Leucoagaricus gongylophorus , hasHost , Atta capiguara"
"Leucoagaricus gongylophorus , hasHost , Acromyrmex rugosus"
"Escovopsis , pathogenOf , Apterostigma"
"Botryosphaeriales , hasHost , Allomerus"
"Sordariomycetes , hasHost , Allomerus"
"Dothideomycetes , hasHost , Allomerus"
"Hypocreaceae , hasHost , Allomerus"
"Pyrenochaetopsidaceae , hasHost , Allomerus"
"Aspergillus flavus , pathogenOf , Pogonomyrmex rugosus"
"Aspergillus flavus , pathogenOf , Atta texana"
"Metarhizium anisopliae , pathogenOf , Solenopsis invicta"
"Akanthomyces gracilis , pathogenOf , Paltothyreus tarsatus"
"Metarhizium anisopliae , pathogenOf , Atta sexdens"
"Serratia symbiotica , hasHost , Formica cinerea"
"Hirsutella stilbelliformis , hasHost , Myrmica rubra"
"Fusarium solani , hasHost , Atta texana"
"Ophiocordyceps , pathogenOf , Formicidae"
"Sympodiorosea , kills , Mycetophylax"
"Luteomyces trichodermoides , interactsWith , Mycocepurus goeldii"
"Escovopsis , interactsWith , Attini"
"Bipolaris , pathogenOf , Atta capiguara"
"Curvularia , pathogenOf , Atta"
"Ophiocordyceps camponoti-floridani , pathogenOf , Camponotus floridanus"
"Laboulbenia , parasiteOf , Lasius neglectus"
"Attini , interactsWith , Actinobacteria"
"Ophiocordyceps camponoti-nidulantis , pathogenOf , Formicidae"
"Ophiocordyceps camponoti-novogranadensis , pathogenOf , Formicidae"
"Ophiocordyceps camponoti-indiani , pathogenOf , Camponotus"
"Hypocreales , parasiteOf , Formicidae"
"Ophiocordyceps kniphofioides , pathogenOf , Cephalotes atratus"
"Paraponera , interactsWith , Ophiocordyceps"
"Paraponera clavata , interactsWith , Ophiocordyceps"
"Actinobacteria , interactsWith , Tapinoma ramulorum"
"Acromyrmex , symbiontOf , Leucoagaricus"
"Acromyrmex , symbiontOf , Leucoagaricus gongylophorus"
"Formicidae , symbiontOf , Chaetothyriales"
"Acromyrmex , eats , Deconica"
"Cordycipitaceae , pathogenOf , Formicidae"
"Camponotus compressus , interactsWith , Entomophthoraceae"
"Aphaenogaster tennesseensis , interactsWith , Pleurotus"
"Pandora , parasiteOf , Camponotus compressus"
"Kluyvera cryocrescens , hasHost , Solenopsis invicta"
"Hirsutella subramanianii , hasHost , Atta colombica"
"Pseudogibellula , hasHost , Formicidae"
"Agaricomycetes , hasHost , Apterostigma"
"Hirsutella sp. , hasHost , Myrmica rubra"
"Ophiocordyceps myrmecophila , hasHost , Formicidae"
"Beauveria bassiana , pathogenOf , Oecophylla smaragdina"
"Beauveria bassiana , pathogenOf , Solenopsis saevissima"
"Aspergillus flavus , pathogenOf , Anoplolepis gracilipes"
"Beauveria brongniartii , pathogenOf , Solenopsis invicta"
"Leucoagaricus gongylophorus , hasHost , Atta colombica"
"Bacillus thuringiensis , hasHost , Solenopsis invicta"
"Escovopsis , pathogenOf , Mycetomoellerius"
"Laboulbeniaceae , pathogenOf , Formicidae"
"Ophiocordyceps unilateralis , pathogenOf , Camponotus sericeiventris"
"Tubulinosematidae , pathogenOf , Formicidae"
"Acetobacteraceae , interactsWith , Formicidae"
"Acetobacteraceae , interactsWith , Camponotus"
"Pandora formicae , pathogenOf , Formicidae"
"Ophiocordyceps , pathogenOf , Daceton"
"Hirsutella stilbelliformis , pathogenOf , Cephalotes atratus"
"Thelohaniidae , pathogenOf , Formicidae"
"Escovopsioides , interactsWith , Attini"
"Enterobacteriaceae , symbiontOf , Formicidae"
"Ophiocordyceps camponoti-rufipedis , pathogenOf , Formicidae"
"Ophiocordyceps , parasiteOf , Formicidae"
"Lactococcus , interactsWith , Solenopsis invicta"
"Atta sexdens , interactsWith , Escovopsis"
"Prenolepis imparis , interactsWith , Parmelioideae"
"Entomophthorales , parasiteOf , Camponotus compressus"
"Ophiocordyceps lloydii , parasiteOf , Camponotus conspicuus sharpi"
"Cordycipitaceae , pathogenOf , Camponotus atriceps"
"Ophiocordyceps unilateralis , parasiteOf , Camponotus confusus"
"Herpotrichiellaceae , hasHost , Petalomyrmex phylax"
"Leucocoprinus , hasHost , Trachymyrmex"
"Agaricaceae , hasHost , Trachymyrmex septentrionalis"
"Agaricaceae , hasHost , Mycetagroicus cerradensis"
"Agaricaceae , hasHost , Trachymyrmex cornetzi"
"Agaricaceae , hasHost , Sericomyrmex amabilis"
"Leucoagaricus , hasHost , Acromyrmex"
"Ophiocordyceps myrmecophila , hasHost , Camponotus atriceps"
"Coleosporium , hasHost , ? purpurea"
