pmid,title,doi,section,ant_hits,microbe_hits,interaction_hits,score,snippet
24710297,Annotation of Protein Domains Reveals Remarkable Conservation in the Functional Make up of Proteomes Across Superkingdoms,10.3390/genes2040869,RESULTS AND DISCUSSION,2,57,23,27,"These included Candidatus Blochmannia floridanus (symbiont of ants), Baumannia cicadellinicola (symbiont of sharpshooter insect), Candidatus Riesia pediculicola, Candidatus Carsonella ruddii (symbiont of sap-feeding insects) and Candidatus Hodgkinia cicadicola (symbiont of cicadas)"
24710297,Annotation of Protein Domains Reveals Remarkable Conservation in the Functional Make up of Proteomes Across Superkingdoms,10.3390/genes2040869,EFFECT OF ORGANISM LIFESTYLE,0,3,14,14,"This organism interacts with Ignicoccus hospitalis, establishing the only known parasite/symbiont relationship of Archaea, and harbors a highly reduced genome [ 29 ]."
25617836,New Light on the Systematics of Fungi Associated with Attine Ant Gardens and the Description of Escovopsis kreiselii sp. nov,10.1371/journal.pone.0112067,INTRODUCTION,19,27,17,55,kreiselii and the previously described species in a clade of Hypocreaceae fungi associated with attine ants.
25617836,New Light on the Systematics of Fungi Associated with Attine Ant Gardens and the Description of Escovopsis kreiselii sp. nov,10.1371/journal.pone.0112067,DISCUSSION,13,62,21,47,"[ 6 , 7 ] provided evidence that Escovopsis is a specific parasite of the mutualistic fungus cultivated by attine ants and that Escovopsis has co-evolved with the ants’ fungal cultivar, as evidenced by co-cladogenesis between species of both fungi."
26358587,"Genome Sequences of Klebsiella variicola Isolates from Dairy Animals with Bovine Mastitis from Newfoundland, Canada",10.1128/genomeA.00938-15,GENOME ANNOUNCEMENT,1,4,13,15,"The genus Klebsiella comprises species capable of colonizing diverse environmental niches ( 1 ) and includes the opportunistic human pathogens K. pneumoniae and K. oxytoca ( 2 , 3 ). In comparison, Klebsiella variicola was first reported as a nonpathogenic plant-associated species ( 2 ), which was also isolated from the nests of leafcutter ants (strain AT-22) and from sugarcane (strain DX120E) ( 4 , 5 )."
26586868,Draft Genome Sequence of the Ant-Associated Fungus Phialophora attae (CBS 131958),10.1128/genomeA.01099-15,GENOME ANNOUNCEMENT,7,3,10,16,"The ant-fungus symbiosis probably originated 50 million years ago ( 7 , 8 )."
27727237,Eukaryotic association module in phage WO genomes from Wolbachia,10.1038/ncomms13155,RESULTS,3,34,17,23,"This ant genome assembly was based on samples from a region rarely infected with Wolbachia (Y Wurm, personal communication) and there are no other Wolbachia /prophage WO homologues in the S."
27727237,Eukaryotic association module in phage WO genomes from Wolbachia,10.1038/ncomms13155,DISCUSSION,0,53,18,18,"d cleavage sites central to eukaryotic functions, (ii) occur in both phage and metazoan hosts, (iii) comprise the second largest phage gene to date (14,256 bp) and (iv) are absent from mutualistic, phage-free genomes of Wolbachia ."
28490957,Isolation of the symbiotic fungus of Acromyrmex pubescens and phylogeny of Leucoagaricus gongylophorus from leaf-cutting ants,10.1016/j.sjbs.2016.05.010,DISCUSSION,32,27,16,70,(2015) made a Phylogenetic analysis of the ITS region where the tree showed two distinct groups (branches in tree) regarding the symbiont fungus isolates from Acromyrmex heyeri and Acromyrmex ambiguous evidencing differences in the strain.
28490957,Isolation of the symbiotic fungus of Acromyrmex pubescens and phylogeny of Leucoagaricus gongylophorus from leaf-cutting ants,10.1016/j.sjbs.2016.05.010,INTRODUCTION,28,43,10,66,The possibility of controlling leaf-cutting ants with biological methods has generated great interest in diverse studies involving the fungi cultivated by ants.
29089938,Evidence for Widespread Associations between Neotropical Hymenopteran Insects and Actinobacteria,10.3389/fmicb.2017.02016,RESULTS,22,48,29,73,"clavata ants were classified by macro and micromorphology as well as ITS, SSU and E-1α sequences, within the Ophiocodycipitaceae family where all Cordyceps fungi infecting ants are grouped."
